geo,time,income_per_person_long_series
abw,1800,876.5
abw,1801,876.5
abw,1802,876.5
abw,1803,876.5
abw,1804,876.5
abw,1805,876.5
abw,1806,876.5
abw,1807,876.5
abw,1808,876.5
abw,1809,876.5
abw,1810,876.5
abw,1811,876.5
abw,1812,876.5
abw,1813,876.5
abw,1814,876.5
abw,1815,876.5
abw,1816,876.5
abw,1817,876.5
abw,1818,876.5
abw,1819,876.5
abw,1820,876.5
abw,1821,882.3
abw,1822,888.2
abw,1823,894.0
abw,1824,899.9
abw,1825,905.9
abw,1826,911.9
abw,1827,917.9
abw,1828,924.0
abw,1829,930.1
abw,1830,936.2
abw,1831,942.4
abw,1832,948.6
abw,1833,954.9
abw,1834,961.2
abw,1835,967.6
abw,1836,974.0
abw,1837,980.4
abw,1838,986.9
abw,1839,993.4
abw,1840,1000.0
abw,1841,1007.0
abw,1842,1013.0
abw,1843,1020.0
abw,1844,1027.0
abw,1845,1033.0
abw,1846,1040.0
abw,1847,1047.0
abw,1848,1054.0
abw,1849,1061.0
abw,1850,1068.0
abw,1851,1075.0
abw,1852,1082.0
abw,1853,1089.0
abw,1854,1097.0
abw,1855,1104.0
abw,1856,1111.0
abw,1857,1118.0
abw,1858,1126.0
abw,1859,1133.0
abw,1860,1141.0
abw,1861,1148.0
abw,1862,1156.0
abw,1863,1164.0
abw,1864,1171.0
abw,1865,1179.0
abw,1866,1187.0
abw,1867,1195.0
abw,1868,1202.0
abw,1869,1210.0
abw,1870,1218.0
abw,1871,1226.0
abw,1872,1235.0
abw,1873,1243.0
abw,1874,1251.0
abw,1875,1259.0
abw,1876,1268.0
abw,1877,1276.0
abw,1878,1284.0
abw,1879,1293.0
abw,1880,1301.0
abw,1881,1310.0
abw,1882,1319.0
abw,1883,1327.0
abw,1884,1336.0
abw,1885,1345.0
abw,1886,1354.0
abw,1887,1363.0
abw,1888,1372.0
abw,1889,1381.0
abw,1890,1390.0
abw,1891,1399.0
abw,1892,1408.0
abw,1893,1418.0
abw,1894,1427.0
abw,1895,1436.0
abw,1896,1446.0
abw,1897,1456.0
abw,1898,1465.0
abw,1899,1475.0
abw,1900,1485.0
abw,1901,1494.0
abw,1902,1504.0
abw,1903,1514.0
abw,1904,1524.0
abw,1905,1534.0
abw,1906,1544.0
abw,1907,1555.0
abw,1908,1565.0
abw,1909,1575.0
abw,1910,1586.0
abw,1911,1596.0
abw,1912,1607.0
abw,1913,1617.0
abw,1914,1657.0
abw,1915,1698.0
abw,1916,1739.0
abw,1917,1782.0
abw,1918,1825.0
abw,1919,1870.0
abw,1920,1916.0
abw,1921,1963.0
abw,1922,2011.0
abw,1923,2060.0
abw,1924,2111.0
abw,1925,2163.0
abw,1926,2216.0
abw,1927,2270.0
abw,1928,2325.0
abw,1929,2382.0
abw,1930,2441.0
abw,1931,2501.0
abw,1932,2562.0
abw,1933,2625.0
abw,1934,2689.0
abw,1935,2755.0
abw,1936,2823.0
abw,1937,2892.0
abw,1938,2963.0
abw,1939,3035.0
abw,1940,3110.0
abw,1941,3186.0
abw,1942,3264.0
abw,1943,3344.0
abw,1944,3426.0
abw,1945,3510.0
abw,1946,3596.0
abw,1947,3684.0
abw,1948,3774.0
abw,1949,3867.0
abw,1950,3961.0
abw,1951,4059.0
abw,1952,4158.0
abw,1953,4260.0
abw,1954,4364.0
abw,1955,4471.0
abw,1956,4581.0
abw,1957,4693.0
abw,1958,4808.0
abw,1959,4926.0
abw,1960,5047.0
abw,1961,5170.0
abw,1962,5297.0
abw,1963,5427.0
abw,1964,5560.0
abw,1965,5696.0
abw,1966,5836.0
abw,1967,5979.0
abw,1968,6125.0
abw,1969,6276.0
abw,1970,6429.0
abw,1971,6953.0
abw,1972,7519.0
abw,1973,8135.0
abw,1974,8807.0
abw,1975,9544.0
abw,1976,10360.0
abw,1977,11250.0
abw,1978,12220.0
abw,1979,13250.0
abw,1980,14320.0
abw,1981,15420.0
abw,1982,16550.0
abw,1983,17770.0
abw,1984,19160.0
abw,1985,20820.0
abw,1986,22860.0
abw,1987,26900.0
abw,1988,32350.0
abw,1989,36300.0
abw,1990,37010.0
abw,1991,38310.0
abw,1992,38240.0
abw,1993,38480.0
abw,1994,39320.0
abw,1995,38600.0
abw,1996,38000.0
abw,1997,40310.0
abw,1998,42570.0
abw,1999,42560.0
abw,2000,43700.0
abw,2001,42450.0
abw,2002,40290.0
abw,2003,39250.0
abw,2004,41060.0
abw,2005,40740.0
abw,2006,40210.0
abw,2007,40560.0
abw,2008,38590.0
abw,2009,35570.0
abw,2010,33290.0
abw,2011,36020.0
abw,2012,35420.0
abw,2013,36080.0
afg,1800,634.4
afg,1801,634.4
afg,1802,634.4
afg,1803,634.4
afg,1804,634.4
afg,1805,634.4
afg,1806,634.4
afg,1807,634.4
afg,1808,634.4
afg,1809,634.4
afg,1810,634.4
afg,1811,634.4
afg,1812,634.4
afg,1813,634.4
afg,1814,634.4
afg,1815,634.4
afg,1816,634.4
afg,1817,634.4
afg,1818,634.4
afg,1819,634.4
afg,1820,634.4
afg,1821,636.5
afg,1822,638.5
afg,1823,640.6
afg,1824,642.7
afg,1825,644.8
afg,1826,646.9
afg,1827,649.0
afg,1828,651.1
afg,1829,653.2
afg,1830,655.3
afg,1831,657.5
afg,1832,659.6
afg,1833,661.7
afg,1834,663.9
afg,1835,666.0
afg,1836,668.2
afg,1837,670.4
afg,1838,672.6
afg,1839,674.8
afg,1840,676.9
afg,1841,679.1
afg,1842,681.4
afg,1843,683.6
afg,1844,685.8
afg,1845,688.0
afg,1846,690.3
afg,1847,692.5
afg,1848,694.8
afg,1849,697.0
afg,1850,699.3
afg,1851,701.6
afg,1852,703.8
afg,1853,706.1
afg,1854,708.4
afg,1855,710.7
afg,1856,713.0
afg,1857,715.3
afg,1858,717.7
afg,1859,720.0
afg,1860,722.3
afg,1861,724.7
afg,1862,727.0
afg,1863,729.4
afg,1864,731.8
afg,1865,734.2
afg,1866,736.5
afg,1867,738.9
afg,1868,741.3
afg,1869,743.8
afg,1870,746.2
afg,1871,748.6
afg,1872,751.0
afg,1873,753.5
afg,1874,755.9
afg,1875,758.4
afg,1876,760.8
afg,1877,763.3
afg,1878,765.8
afg,1879,768.3
afg,1880,770.8
afg,1881,773.3
afg,1882,775.8
afg,1883,778.3
afg,1884,780.9
afg,1885,783.4
afg,1886,785.9
afg,1887,788.5
afg,1888,791.1
afg,1889,793.6
afg,1890,796.2
afg,1891,798.8
afg,1892,801.4
afg,1893,804.0
afg,1894,806.6
afg,1895,809.2
afg,1896,811.9
afg,1897,814.5
afg,1898,817.2
afg,1899,819.8
afg,1900,822.5
afg,1901,825.2
afg,1902,827.8
afg,1903,830.5
afg,1904,833.2
afg,1905,835.9
afg,1906,838.7
afg,1907,841.4
afg,1908,844.1
afg,1909,846.9
afg,1910,849.6
afg,1911,852.4
afg,1912,855.1
afg,1913,857.9
afg,1914,861.9
afg,1915,865.9
afg,1916,869.9
afg,1917,873.9
afg,1918,878.0
afg,1919,882.0
afg,1920,886.1
afg,1921,890.2
afg,1922,894.3
afg,1923,898.5
afg,1924,902.6
afg,1925,906.8
afg,1926,911.0
afg,1927,915.2
afg,1928,919.5
afg,1929,923.7
afg,1930,928.0
afg,1931,932.3
afg,1932,936.6
afg,1933,940.9
afg,1934,945.3
afg,1935,949.7
afg,1936,954.1
afg,1937,958.5
afg,1938,962.9
afg,1939,967.4
afg,1940,971.8
afg,1941,976.3
afg,1942,980.9
afg,1943,985.4
afg,1944,990.0
afg,1945,994.5
afg,1946,999.1
afg,1947,1004.0
afg,1948,1008.0
afg,1949,1013.0
afg,1950,1018.0
afg,1951,1030.0
afg,1952,1048.0
afg,1953,1092.0
afg,1954,1096.0
afg,1955,1097.0
afg,1956,1125.0
afg,1957,1103.0
afg,1958,1142.0
afg,1959,1151.0
afg,1960,1167.0
afg,1961,1152.0
afg,1962,1146.0
afg,1963,1142.0
afg,1964,1137.0
afg,1965,1136.0
afg,1966,1120.0
afg,1967,1124.0
afg,1968,1136.0
afg,1969,1126.0
afg,1970,1120.0
afg,1971,1040.0
afg,1972,994.5
afg,1973,1080.0
afg,1974,1110.0
afg,1975,1138.0
afg,1976,1164.0
afg,1977,1056.0
afg,1978,1112.0
afg,1979,1087.0
afg,1980,1089.0
afg,1981,1205.0
afg,1982,1314.0
afg,1983,1362.0
afg,1984,1337.0
afg,1985,1293.0
afg,1986,1385.0
afg,1987,1146.0
afg,1988,1035.0
afg,1989,1010.0
afg,1990,953.5
afg,1991,948.1
afg,1992,872.7
afg,1993,751.1
afg,1994,672.6
afg,1995,808.9
afg,1996,830.4
afg,1997,853.8
afg,1998,878.0
afg,1999,901.8
afg,2000,892.2
afg,2001,799.7
afg,2002,976.7
afg,2003,1055.0
afg,2004,1081.0
afg,2005,1175.0
afg,2006,1193.0
afg,2007,1322.0
afg,2008,1323.0
afg,2009,1552.0
afg,2010,1632.0
afg,2011,1695.0
afg,2012,1885.0
afg,2013,1907.0
afg,2014,1923.0
afg,2015,1963.0
afg,2016,2016.0
afg,2017,2072.0
afg,2018,2134.0
afg,2019,2206.0
ago,1800,650.0
ago,1801,652.8
ago,1802,655.5
ago,1803,658.3
ago,1804,661.1
ago,1805,663.9
ago,1806,666.8
ago,1807,669.6
ago,1808,672.4
ago,1809,675.3
ago,1810,678.2
ago,1811,681.1
ago,1812,684.0
ago,1813,686.9
ago,1814,689.8
ago,1815,692.7
ago,1816,695.7
ago,1817,698.6
ago,1818,701.6
ago,1819,704.6
ago,1820,707.6
ago,1821,710.6
ago,1822,713.6
ago,1823,716.6
ago,1824,719.7
ago,1825,722.8
ago,1826,725.8
ago,1827,728.9
ago,1828,732.0
ago,1829,735.1
ago,1830,738.3
ago,1831,741.4
ago,1832,744.6
ago,1833,747.7
ago,1834,750.9
ago,1835,754.1
ago,1836,757.3
ago,1837,760.5
ago,1838,763.8
ago,1839,767.0
ago,1840,770.3
ago,1841,773.5
ago,1842,776.8
ago,1843,780.1
ago,1844,783.5
ago,1845,786.8
ago,1846,790.1
ago,1847,793.5
ago,1848,796.9
ago,1849,800.3
ago,1850,803.7
ago,1851,807.1
ago,1852,810.5
ago,1853,814.0
ago,1854,817.4
ago,1855,820.9
ago,1856,824.4
ago,1857,827.9
ago,1858,831.4
ago,1859,834.9
ago,1860,838.5
ago,1861,842.1
ago,1862,845.6
ago,1863,849.2
ago,1864,852.9
ago,1865,856.5
ago,1866,860.1
ago,1867,863.8
ago,1868,867.5
ago,1869,871.1
ago,1870,874.9
ago,1871,878.6
ago,1872,882.3
ago,1873,886.1
ago,1874,889.8
ago,1875,893.6
ago,1876,897.4
ago,1877,901.2
ago,1878,905.1
ago,1879,908.9
ago,1880,912.8
ago,1881,916.7
ago,1882,920.6
ago,1883,924.5
ago,1884,928.4
ago,1885,932.4
ago,1886,936.3
ago,1887,940.3
ago,1888,944.3
ago,1889,948.3
ago,1890,952.4
ago,1891,956.4
ago,1892,960.5
ago,1893,964.6
ago,1894,968.7
ago,1895,972.8
ago,1896,976.9
ago,1897,981.1
ago,1898,985.2
ago,1899,989.4
ago,1900,993.6
ago,1901,997.9
ago,1902,1002.0
ago,1903,1006.0
ago,1904,1011.0
ago,1905,1015.0
ago,1906,1019.0
ago,1907,1024.0
ago,1908,1028.0
ago,1909,1032.0
ago,1910,1037.0
ago,1911,1041.0
ago,1912,1046.0
ago,1913,1050.0
ago,1914,1081.0
ago,1915,1113.0
ago,1916,1146.0
ago,1917,1180.0
ago,1918,1215.0
ago,1919,1251.0
ago,1920,1288.0
ago,1921,1326.0
ago,1922,1365.0
ago,1923,1405.0
ago,1924,1447.0
ago,1925,1490.0
ago,1926,1534.0
ago,1927,1579.0
ago,1928,1626.0
ago,1929,1674.0
ago,1930,1724.0
ago,1931,1775.0
ago,1932,1827.0
ago,1933,1881.0
ago,1934,1937.0
ago,1935,1994.0
ago,1936,2053.0
ago,1937,2114.0
ago,1938,2176.0
ago,1939,2241.0
ago,1940,2307.0
ago,1941,2375.0
ago,1942,2446.0
ago,1943,2518.0
ago,1944,2593.0
ago,1945,2669.0
ago,1946,2748.0
ago,1947,2830.0
ago,1948,2913.0
