geo,time,income_per_person_long_series,is_forecasted
abw,1800,876.5,False
abw,1801,876.5,False
abw,1802,876.5,False
abw,1803,876.5,False
abw,1804,876.5,False
abw,1805,876.5,False
abw,1806,876.5,False
abw,1807,876.5,False
abw,1808,876.5,False
abw,1809,876.5,False
abw,1810,876.5,False
abw,1811,876.5,False
abw,1812,876.5,False
abw,1813,876.5,False
abw,1814,876.5,False
abw,1815,876.5,False
abw,1816,876.5,False
abw,1817,876.5,False
abw,1818,876.5,False
abw,1819,876.5,False
abw,1820,876.5,False
abw,1821,882.3,False
abw,1822,888.2,False
abw,1823,894.0,False
abw,1824,899.9,False
abw,1825,905.9,False
abw,1826,911.9,False
abw,1827,917.9,False
abw,1828,924.0,False
abw,1829,930.1,False
abw,1830,936.2,False
abw,1831,942.4,False
abw,1832,948.6,False
abw,1833,954.9,False
abw,1834,961.2,False
abw,1835,967.6,False
abw,1836,974.0,False
abw,1837,980.4,False
abw,1838,986.9,False
abw,1839,993.4,False
abw,1840,1000.0,False
abw,1841,1007.0,False
abw,1842,1013.0,False
abw,1843,1020.0,False
abw,1844,1027.0,False
abw,1845,1033.0,False
abw,1846,1040.0,False
abw,1847,1047.0,False
abw,1848,1054.0,False
abw,1849,1061.0,False
abw,1850,1068.0,False
abw,1851,1075.0,False
abw,1852,1082.0,False
abw,1853,1089.0,False
abw,1854,1097.0,False
abw,1855,1104.0,False
abw,1856,1111.0,False
abw,1857,1118.0,False
abw,1858,1126.0,False
abw,1859,1133.0,False
abw,1860,1141.0,False
abw,1861,1148.0,False
abw,1862,1156.0,False
abw,1863,1164.0,False
abw,1864,1171.0,False
abw,1865,1179.0,False
abw,1866,1187.0,False
abw,1867,1195.0,False
abw,1868,1202.0,False
abw,1869,1210.0,False
abw,1870,1218.0,False
abw,1871,1226.0,False
abw,1872,1235.0,False
abw,1873,1243.0,False
abw,1874,1251.0,False
abw,1875,1259.0,False
abw,1876,1268.0,False
abw,1877,1276.0,False
abw,1878,1284.0,False
abw,1879,1293.0,False
abw,1880,1301.0,False
abw,1881,1310.0,False
abw,1882,1319.0,False
abw,1883,1327.0,False
abw,1884,1336.0,False
abw,1885,1345.0,False
abw,1886,1354.0,False
abw,1887,1363.0,False
abw,1888,1372.0,False
abw,1889,1381.0,False
abw,1890,1390.0,False
abw,1891,1399.0,False
abw,1892,1408.0,False
abw,1893,1418.0,False
abw,1894,1427.0,False
abw,1895,1436.0,False
abw,1896,1446.0,False
abw,1897,1456.0,False
abw,1898,1465.0,False
abw,1899,1475.0,False
abw,1900,1485.0,False
abw,1901,1494.0,False
abw,1902,1504.0,False
abw,1903,1514.0,False
abw,1904,1524.0,False
abw,1905,1534.0,False
abw,1906,1544.0,False
abw,1907,1555.0,False
abw,1908,1565.0,False
abw,1909,1575.0,False
abw,1910,1586.0,False
abw,1911,1596.0,False
abw,1912,1607.0,False
abw,1913,1617.0,False
abw,1914,1657.0,False
abw,1915,1698.0,False
abw,1916,1739.0,False
abw,1917,1782.0,False
abw,1918,1825.0,False
abw,1919,1870.0,False
abw,1920,1916.0,False
abw,1921,1963.0,False
abw,1922,2011.0,False
abw,1923,2060.0,False
abw,1924,2111.0,False
abw,1925,2163.0,False
abw,1926,2216.0,False
