geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
afg,1970,1.82,False
afg,1971,1.87,False
afg,1972,1.92,False
afg,1973,1.97,False
afg,1974,2.02,False
afg,1975,2.07,False
afg,1976,2.12,False
afg,1977,2.17,False
afg,1978,2.23,False
afg,1979,2.28,False
afg,1980,2.34,False
afg,1981,2.4,False
afg,1982,2.46,False
afg,1983,2.52,False
afg,1984,2.58,False
afg,1985,2.64,False
afg,1986,2.71,False
afg,1987,2.78,False
afg,1988,2.84,False
afg,1989,2.91,False
afg,1990,2.98,False
afg,1991,3.05,False
afg,1992,3.13,False
afg,1993,3.2,False
afg,1994,3.28,False
afg,1995,3.36,False
afg,1996,3.44,False
afg,1997,3.52,False
afg,1998,3.6,False
afg,1999,3.69,False
afg,2000,3.78,False
afg,2001,3.86,False
afg,2002,3.95,False
afg,2003,4.05,False
afg,2004,4.14,False
afg,2005,4.23,False
afg,2006,4.33,False
afg,2007,4.43,False
afg,2008,4.53,False
afg,2009,4.63,False
afg,2010,4.73,False
afg,2011,4.84,False
afg,2012,4.94,False
afg,2013,5.05,False
afg,2014,5.16,False
afg,2015,5.27,False
afg,2016,5.37907804314746,True
afg,2017,5.4879037148558565,True
afg,2018,5.596477599031368,True
afg,2019,5.704800278229201,True
afg,2020,5.812872333656719,True
afg,2021,5.920694345176556,True
afg,2022,6.028266891309732,True
afg,2023,6.135590549238757,True
afg,2024,6.242665894810726,True
ago,1970,2.25,False
ago,1971,2.31,False
ago,1972,2.36,False
ago,1973,2.42,False
ago,1974,2.48,False
ago,1975,2.54,False
ago,1976,2.6,False
ago,1977,2.67,False
ago,1978,2.73,False
ago,1979,2.8,False
ago,1980,2.86,False
ago,1981,2.93,False
ago,1982,3.0,False
ago,1983,3.07,False
ago,1984,3.14,False
ago,1985,3.22,False
ago,1986,3.29,False
ago,1987,3.37,False
ago,1988,3.44,False
ago,1989,3.52,False
ago,1990,3.6,False
ago,1991,3.69,False
ago,1992,3.77,False
ago,1993,3.85,False
ago,1994,3.94,False
ago,1995,4.03,False
ago,1996,4.12,False
ago,1997,4.21,False
ago,1998,4.3,False
ago,1999,4.39,False
ago,2000,4.49,False
ago,2001,4.59,False
ago,2002,4.69,False
ago,2003,4.79,False
ago,2004,4.89,False
ago,2005,5.0,False
ago,2006,5.1,False
ago,2007,5.21,False
ago,2008,5.32,False
ago,2009,5.43,False
ago,2010,5.55,False
ago,2011,5.66,False
ago,2012,5.78,False
ago,2013,5.9,False
ago,2014,6.02,False
ago,2015,6.14,False
ago,2016,6.259404459799827,True
ago,2017,6.378643139022925,True
ago,2018,6.497716267838249,True
ago,2019,6.616624076095187,True
ago,2020,6.7353667933240065,True
ago,2021,6.853944648736294,True
ago,2022,6.9723578712254035,True
ago,2023,7.090606689366891,True
ago,2024,7.208691331418961,True
alb,1970,5.47,False
alb,1971,5.58,False
alb,1972,5.69,False
alb,1973,5.8,False
alb,1974,5.91,False
alb,1975,6.02,False
