geo,electricity_use_2014,electricity_use_2022,pct_change_use,electricity_gen_2014,electricity_gen_2022,pct_change_gen
are,13560.37144,14687.97398,8.315425170978944,116544900000.0,155438500000.0,33.372202473038286
arg,3036.20734,2833.1191,-6.688879159352801,138551150000.0,145619000000.0,5.101256828254403
aus,10130.09801,9925.08034,-2.023846855159887,247647340000.0,272921740000.0,10.205803139254394
aut,8342.73695,8256.60587,-1.0324079557608612,65647580000.00001,69193240000.0,5.401052102758384
aze,2202.39392,2365.86248,7.4223125352616215,24727700000.0,29039800000.0,17.438338381652965
bel,7700.55858,7282.74577,-5.4257467904360706,72545600000.0,95947800000.0,32.258607000286716
bgd,326.50285,602.67475,84.58483593634787,57688480000.0,100154590000.0,73.61280796443242
bgr,4809.73404,5536.49852,15.11028414369456,47489650000.0,50499300000.0,6.337486168038719
blr,3690.10368,3902.76581,5.763039427661818,34737000000.0,39717500000.0,14.337737858767309
bra,2690.21495,2787.7609,3.6259537551079393,590542120000.0,677161560000.0,14.667783561314812
can,16486.87452,14907.07787,-9.582147593126717,652952550000.0,664076550000.0,1.7036460000041351
che,7520.0439,7309.48579,-2.799958521518737,71951950000.0,64217950000.0,-10.748840024488565
chl,3716.31635,4422.43343,19.000456729147935,71616380000.0,88040040000.0,22.932826261254757
chn,4006.16827,6112.13554,52.56811816344399,5794457000000.0,8848712000000.0,52.70994331306626
col,1383.42975,1528.08546,10.456310484865602,72747620000.0,89864970000.0,23.529773207700817
cyp,3475.61701,3848.66716,10.733350335398434,4352000000.0,5267930000.0,21.046185661764703
cze,6270.67212,6363.02934,1.4728440306331925,86013490000.0,84701630000.0,-1.525179364306692
deu,7035.61881,6269.53023,-10.888716411286069,626582520000.0,577852780000.0,-7.7770666184559385
dnk,5858.97873,5847.15969,-0.20172525869537342,32182550000.0,35123890000.0,9.139549227764736
dza,1353.09165,1756.58721,29.820268272293294,64241000000.0,91231000000.0,42.01366728413319
ecu,1367.68509,1589.27085,16.20151902072722,24307210000.0,33008300000.0,35.79633368041828
